,Name,Special,Preferred Foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Stamina,Long Shots,Aggression,Interceptions,Positioning,Penalties,Standing Tackle,Sliding Tackle
556,Marcos Antonio Silva Santos,1815,1,64.0,61.0,43.0,74.0,53.0,68.0,40.0,39.0,77.0,73.0,85.0,83.0,90.0,71.0,68.0,30.0,64.0,71.0,47.0,54.0,52.0
557,Danny Ings,1916,1,64.0,85.0,79.0,74.0,74.0,79.0,57.0,36.0,61.0,78.0,78.0,74.0,76.0,70.0,78.0,67.0,39.0,83.0,79.0,24.0,27.0
558,Matheus Fellipe Costa Pereira,1946,0,73.0,73.0,43.0,77.0,69.0,79.0,78.0,71.0,64.0,78.0,79.0,79.0,85.0,71.0,73.0,61.0,39.0,73.0,71.0,37.0,29.0
559,Lucas Rodrigues M. Silva,2093,1,73.0,79.0,62.0,74.0,72.0,88.0,71.0,70.0,70.0,85.0,95.0,89.0,93.0,75.0,76.0,72.0,50.0,80.0,74.0,43.0,44.0
560,Pedro Victor Delmino da Silva,1856,0,66.0,65.0,60.0,74.0,67.0,81.0,77.0,67.0,67.0,76.0,86.0,81.0,87.0,71.0,71.0,42.0,26.0,70.0,67.0,36.0,20.0
561,Stefano Sensi,2039,1,75.0,48.0,45.0,83.0,49.0,79.0,75.0,75.0,83.0,84.0,71.0,64.0,75.0,77.0,73.0,71.0,74.0,67.0,73.0,73.0,73.0
562,Colin Dagba,1894,1,72.0,38.0,54.0,77.0,39.0,76.0,63.0,41.0,68.0,78.0,81.0,82.0,82.0,71.0,61.0,67.0,74.0,69.0,38.0,72.0,73.0
563,Rick van Drongelen,1620,0,46.0,20.0,72.0,66.0,35.0,47.0,44.0,50.0,65.0,60.0,59.0,62.0,55.0,71.0,24.0,77.0,68.0,22.0,48.0,74.0,71.0
564,Julian Draxler,2059,1,79.0,74.0,64.0,81.0,79.0,83.0,77.0,76.0,77.0,84.0,76.0,74.0,80.0,68.0,78.0,48.0,66.0,78.0,65.0,64.0,44.0
565,Linton Maina,1659,1,64.0,64.0,44.0,66.0,55.0,76.0,63.0,43.0,61.0,74.0,90.0,89.0,85.0,76.0,49.0,38.0,19.0,57.0,44.0,23.0,22.0
566,Thomas Lemar,2132,0,83.0,75.0,54.0,81.0,76.0,84.0,85.0,81.0,75.0,85.0,81.0,79.0,88.0,74.0,77.0,63.0,66.0,77.0,68.0,59.0,63.0
567,Marc-André ter Stegen,1442,1,18.0,14.0,11.0,61.0,14.0,21.0,18.0,12.0,63.0,30.0,38.0,50.0,37.0,35.0,10.0,43.0,22.0,11.0,25.0,13.0,10.0
568,Aaron Ramsdale,1256,1,15.0,14.0,15.0,31.0,16.0,18.0,17.0,16.0,33.0,28.0,47.0,50.0,53.0,35.0,15.0,35.0,20.0,11.0,25.0,16.0,15.0
569,Dodi Lukébakio,1839,0,68.0,77.0,54.0,74.0,66.0,82.0,69.0,65.0,61.0,79.0,82.0,82.0,76.0,69.0,71.0,33.0,26.0,78.0,64.0,29.0,24.0
570,Florinel Coman,1885,1,68.0,74.0,55.0,71.0,47.0,73.0,69.0,73.0,65.0,75.0,89.0,90.0,90.0,73.0,78.0,55.0,34.0,67.0,62.0,33.0,27.0
571,Álvaro Odriozola Arzalluz,1964,1,81.0,45.0,73.0,77.0,48.0,76.0,69.0,30.0,70.0,77.0,79.0,78.0,78.0,79.0,59.0,62.0,74.0,66.0,62.0,76.0,77.0
572,Joachim Andersen,1761,1,36.0,40.0,76.0,78.0,33.0,51.0,49.0,36.0,80.0,65.0,55.0,60.0,48.0,69.0,43.0,74.0,77.0,34.0,44.0,78.0,76.0
573,Toni Kroos,2150,1,88.0,76.0,58.0,93.0,82.0,80.0,86.0,84.0,93.0,89.0,57.0,52.0,63.0,75.0,86.0,60.0,79.0,76.0,73.0,73.0,60.0
574,Alessandro Florenzi,2227,1,76.0,70.0,72.0,76.0,87.0,77.0,73.0,78.0,75.0,78.0,83.0,79.0,86.0,86.0,82.0,79.0,78.0,82.0,75.0,79.0,78.0
575,Florian Thauvin,2076,0,82.0,79.0,72.0,83.0,75.0,82.0,84.0,72.0,76.0,84.0,84.0,80.0,85.0,81.0,80.0,56.0,42.0,83.0,78.0,29.0,31.0
576,Gonzalo Higuaín,1906,1,68.0,87.0,77.0,75.0,85.0,80.0,74.0,62.0,60.0,83.0,62.0,67.0,71.0,57.0,80.0,50.0,20.0,90.0,70.0,22.0,18.0
578,Ezgjan Alioski,2025,0,72.0,69.0,64.0,66.0,56.0,67.0,63.0,64.0,67.0,69.0,84.0,79.0,79.0,91.0,71.0,76.0,65.0,65.0,69.0,67.0,65.0
579,Jan Oblak,1413,1,13.0,11.0,15.0,43.0,13.0,12.0,13.0,14.0,40.0,30.0,43.0,60.0,67.0,41.0,12.0,34.0,19.0,11.0,11.0,12.0,18.0
580,Arne Maier,1842,1,64.0,54.0,40.0,80.0,39.0,75.0,49.0,44.0,75.0,78.0,67.0,66.0,67.0,75.0,60.0,54.0,70.0,66.0,38.0,74.0,65.0
581,Geoffrey Kondogbia,2144,0,65.0,69.0,75.0,81.0,62.0,76.0,62.0,56.0,78.0,79.0,68.0,69.0,73.0,81.0,83.0,86.0,82.0,77.0,45.0,79.0,80.0
582,Jayden Bogle,1834,1,72.0,41.0,55.0,68.0,34.0,74.0,56.0,38.0,65.0,72.0,84.0,79.0,76.0,72.0,51.0,71.0,69.0,70.0,34.0,72.0,68.0
583,Léo Dubois,2046,1,82.0,53.0,60.0,78.0,73.0,74.0,76.0,56.0,75.0,77.0,70.0,74.0,71.0,79.0,64.0,70.0,78.0,70.0,46.0,78.0,81.0
584,Anderson Souza Conceição,2172,0,75.0,80.0,77.0,84.0,76.0,82.0,86.0,87.0,82.0,84.0,84.0,76.0,87.0,82.0,87.0,67.0,52.0,86.0,75.0,55.0,42.0
585,Ante Rebić,2012,1,74.0,80.0,70.0,72.0,82.0,80.0,76.0,66.0,57.0,81.0,84.0,91.0,74.0,78.0,79.0,84.0,29.0,77.0,63.0,50.0,25.0
586,Marko Grujić,2014,1,62.0,72.0,78.0,75.0,62.0,80.0,65.0,51.0,73.0,80.0,58.0,64.0,67.0,74.0,67.0,75.0,72.0,75.0,57.0,70.0,70.0
587,Riyad Mahrez,2034,0,83.0,79.0,48.0,80.0,76.0,90.0,84.0,78.0,75.0,91.0,87.0,79.0,92.0,76.0,80.0,48.0,39.0,80.0,70.0,31.0,22.0
588,Jean Lucas de Souza Oliveira,1903,1,58.0,52.0,61.0,78.0,53.0,74.0,64.0,45.0,75.0,75.0,69.0,67.0,67.0,71.0,74.0,73.0,62.0,65.0,47.0,66.0,61.0
589,Douglas Luiz Soares de Paulo,1977,1,69.0,64.0,62.0,77.0,58.0,72.0,66.0,63.0,76.0,75.0,65.0,66.0,74.0,73.0,76.0,74.0,72.0,52.0,44.0,75.0,72.0
590,Amine Harit,1832,1,64.0,71.0,46.0,77.0,63.0,85.0,67.0,54.0,72.0,83.0,84.0,63.0,87.0,73.0,65.0,46.0,39.0,68.0,68.0,50.0,32.0
591,Odisseas Vlachodimos,1258,1,15.0,12.0,13.0,27.0,14.0,13.0,17.0,13.0,24.0,23.0,42.0,44.0,67.0,39.0,16.0,32.0,23.0,14.0,18.0,14.0,12.0
592,Rafael A. Ferreira Silva,2002,1,78.0,74.0,46.0,77.0,68.0,88.0,78.0,56.0,62.0,85.0,93.0,94.0,90.0,77.0,71.0,47.0,58.0,83.0,59.0,47.0,39.0
593,Ángel Correa,2101,1,74.0,82.0,67.0,77.0,79.0,87.0,82.0,65.0,65.0,87.0,86.0,82.0,89.0,79.0,83.0,78.0,48.0,83.0,55.0,53.0,44.0
594,Alexandre Lacazette,2076,1,68.0,83.0,75.0,79.0,79.0,84.0,74.0,74.0,70.0,85.0,77.0,75.0,81.0,77.0,78.0,74.0,42.0,84.0,76.0,51.0,32.0
595,Dennis Man,1900,0,70.0,72.0,68.0,67.0,61.0,72.0,64.0,66.0,64.0,74.0,88.0,88.0,86.0,81.0,65.0,68.0,37.0,71.0,61.0,48.0,40.0
596,Thomas Meunier,2132,1,81.0,70.0,75.0,80.0,77.0,75.0,74.0,56.0,74.0,79.0,73.0,80.0,63.0,92.0,77.0,73.0,76.0,78.0,65.0,79.0,77.0
597,Emiliano Martínez,1401,1,22.0,16.0,26.0,45.0,13.0,13.0,22.0,20.0,48.0,35.0,59.0,57.0,49.0,40.0,16.0,37.0,13.0,12.0,42.0,20.0,20.0
598,Enis Bardhi,2125,1,77.0,78.0,52.0,77.0,81.0,82.0,89.0,91.0,74.0,81.0,79.0,73.0,84.0,76.0,84.0,62.0,66.0,75.0,78.0,65.0,63.0
599,Kevin Mbabu,1982,1,77.0,49.0,67.0,69.0,39.0,72.0,64.0,48.0,65.0,74.0,90.0,89.0,76.0,91.0,44.0,74.0,70.0,72.0,35.0,76.0,80.0
600,David De Gea Quintana,1449,1,17.0,13.0,21.0,50.0,13.0,18.0,21.0,19.0,47.0,38.0,57.0,58.0,63.0,43.0,12.0,38.0,30.0,12.0,29.0,21.0,13.0
601,Adam Idah,1502,1,38.0,66.0,65.0,49.0,58.0,56.0,49.0,30.0,37.0,62.0,73.0,75.0,67.0,59.0,61.0,53.0,17.0,65.0,63.0,17.0,11.0
602,Andrea Belotti,1951,1,42.0,88.0,84.0,68.0,82.0,78.0,64.0,56.0,42.0,75.0,76.0,76.0,78.0,80.0,67.0,83.0,31.0,85.0,77.0,23.0,32.0
603,Gelson Dany Batalha Martins,2026,1,76.0,69.0,51.0,75.0,74.0,87.0,82.0,60.0,55.0,81.0,94.0,94.0,94.0,86.0,69.0,60.0,50.0,75.0,66.0,51.0,48.0
604,Daniel Carvajal Ramos,2133,1,84.0,51.0,72.0,83.0,49.0,78.0,76.0,47.0,74.0,84.0,79.0,80.0,79.0,89.0,47.0,84.0,83.0,75.0,45.0,83.0,85.0
605,Ezri Konsa,1755,1,51.26250815749402,34.0,67.0,60.132580099339556,35.0,69.0,37.0,38.0,66.0,67.0,72.0,76.0,67.0,72.0,32.0,56.73831725035238,46.793920939590016,50.0,38.0,47.97143012329585,45.84790419161676
606,Harry Winks,2002,1,65.0,55.0,50.0,84.0,50.0,81.0,73.0,68.0,80.0,82.0,73.0,62.0,83.0,79.0,60.0,77.0,76.0,64.0,51.0,76.0,67.0
607,Reggie Cannon,1757,1,60.0,29.0,56.0,65.0,33.0,68.0,58.0,21.0,59.0,66.0,89.0,91.0,82.0,87.0,31.0,64.0,63.0,60.0,33.0,71.0,68.0
608,Breel Embolo,1950,1,63.0,78.0,71.0,76.0,64.0,77.0,68.0,51.0,70.0,74.0,83.0,91.0,66.0,78.0,70.0,79.0,41.0,78.0,66.0,42.0,38.0
609,Callum Wilson,1917,1,61.0,81.0,78.0,70.0,71.0,77.0,63.0,45.0,62.0,76.0,78.0,85.0,75.0,73.0,68.0,73.0,40.0,82.0,78.0,39.0,25.0
610,Juan Bernat Velasco,2125,0,85.0,65.0,57.0,82.0,61.0,83.0,78.0,51.0,73.0,83.0,82.0,81.0,85.0,79.0,62.0,75.0,79.0,78.0,53.0,81.0,78.0
611,Hiroki Abe,1673,1,61.0,62.0,56.0,62.0,64.0,77.0,53.0,32.0,42.0,72.0,87.0,89.0,79.0,73.0,55.0,33.0,17.0,62.0,58.0,25.0,15.0
612,Radja Nainggolan,2270,1,73.0,75.0,59.0,85.0,75.0,83.0,73.0,68.0,82.0,84.0,71.0,71.0,75.0,89.0,89.0,88.0,86.0,84.0,63.0,86.0,90.0
613,Sepp van den Berg,1542,1,37.0,24.0,61.0,66.0,27.0,63.0,34.0,26.0,62.0,68.0,58.0,69.0,52.0,55.0,23.0,64.0,66.0,48.0,40.0,67.0,59.0
614,Eran Zahavi,2068,1,69.0,86.0,69.0,78.0,77.0,82.0,74.0,78.0,69.0,83.0,76.0,81.0,89.0,77.0,81.0,58.0,38.0,83.0,75.0,41.0,34.0
615,Francisco Román Alarcón Suárez,2080,1,78.0,76.0,55.0,84.0,67.0,92.0,88.0,76.0,81.0,91.0,71.0,65.0,83.0,61.0,81.0,58.0,61.0,76.0,76.0,64.0,51.0
616,Daniel Maldini,1570,1,52.0,48.0,48.0,66.0,48.0,60.0,60.0,60.0,58.0,62.0,67.0,69.0,65.0,47.0,50.0,46.0,34.0,54.0,52.0,44.0,40.0
617,Moussa Marega,1932,1,65.0,80.0,78.0,65.0,75.0,64.0,58.0,37.0,52.0,66.0,87.0,90.0,66.0,93.0,72.0,89.0,26.0,84.0,71.0,34.0,28.0
618,Unai Simón Mendibil,1217,1,16.0,14.0,18.0,29.0,17.0,12.0,20.0,14.0,21.0,16.0,46.0,48.0,32.0,45.0,13.0,27.0,26.0,14.0,24.0,18.0,12.0
619,Krzysztof Piątek,1822,1,51.0,84.0,80.0,64.0,75.0,75.0,60.0,40.0,35.0,77.0,75.0,72.0,74.0,73.0,69.0,51.0,31.0,86.0,75.0,38.0,24.0
620,Marcel Halstenberg,2114,0,82.0,59.0,81.0,77.0,60.0,71.0,77.0,75.0,64.0,75.0,67.0,66.0,65.0,83.0,69.0,77.0,78.0,63.0,73.0,82.0,76.0
621,Stuart Dallas,1933,1,68.0,64.0,65.0,69.0,59.0,71.0,57.0,50.0,64.0,70.0,74.0,73.0,73.0,90.0,64.0,63.0,67.0,69.0,57.0,73.0,68.0
622,Ianis Hagi,1846,1,62.0,67.0,53.0,73.0,54.0,76.0,80.0,68.0,71.0,72.0,81.0,78.0,85.0,84.0,71.0,57.0,32.0,64.0,64.0,31.0,33.0
623,Joe Gelhardt,1500,0,44.0,64.0,54.0,59.0,55.0,64.0,50.0,43.0,52.0,63.0,70.0,65.0,68.0,58.0,59.0,42.0,16.0,62.0,57.0,17.0,16.0
624,Marco Verratti,2168,1,75.0,60.0,55.0,90.0,64.0,90.0,78.0,64.0,89.0,90.0,68.0,61.0,91.0,76.0,58.0,89.0,85.0,71.0,64.0,82.0,83.0
625,Ross Barkley,2010,1,67.0,69.0,65.0,83.0,62.0,83.0,69.0,73.0,80.0,84.0,69.0,69.0,65.0,69.0,81.0,74.0,54.0,75.0,65.0,60.0,51.0
626,Amine Gouiri,1727,1,54.0,73.0,59.0,68.0,65.0,75.0,68.0,38.0,56.0,73.0,73.0,74.0,73.0,58.0,63.0,56.0,33.0,73.0,66.0,29.0,24.0
627,M'Baye Niang,1869,1,67.0,79.0,69.0,72.0,72.0,81.0,70.0,66.0,58.0,83.0,77.0,85.0,72.0,70.0,74.0,52.0,30.0,78.0,75.0,24.0,20.0
628,Oliver Skipp,1686,1,52.0,41.0,51.0,73.0,35.0,61.0,48.0,42.0,66.0,72.0,67.0,59.0,58.0,68.0,45.0,71.0,64.0,50.0,54.0,69.0,66.0
629,Ahmed Kutucu,1745,1,43.0,70.0,60.0,64.0,64.0,69.0,53.0,46.0,57.0,67.0,78.0,69.0,75.0,63.0,64.0,75.0,30.0,63.0,53.0,45.0,53.0
630,Jamal Musiala,1448,1,52.0,60.0,31.0,60.0,51.0,68.0,47.0,38.0,49.0,66.0,67.0,66.0,70.0,48.0,55.0,37.0,27.0,58.0,42.0,28.0,29.0
631,Sergio Roberto Carnicer,2094,1,83.0,63.0,72.0,84.0,50.0,78.0,78.0,60.0,78.0,82.0,75.0,79.0,69.0,92.0,66.0,68.0,79.0,69.0,57.0,79.0,78.0
632,Divock Origi,1862,1,69.0,77.0,75.0,74.0,70.0,78.0,54.0,40.0,59.0,78.0,78.0,85.0,71.0,70.0,70.0,69.0,28.0,78.0,65.0,24.0,18.0
633,Lewis Ferguson,1940,1,61.0,64.0,68.0,73.0,65.0,69.0,63.0,63.0,71.0,69.0,72.0,71.0,79.0,81.0,64.0,80.0,63.0,65.0,44.0,67.0,65.0
634,Lorenzo Pellegrini,2101,1,74.0,67.0,71.0,86.0,69.0,77.0,70.0,69.0,81.0,81.0,75.0,75.0,69.0,73.0,74.0,71.0,70.0,75.0,67.0,74.0,72.0
635,Corentin Tolisso,2185,1,67.0,75.0,82.0,82.0,62.0,76.0,66.0,73.0,84.0,82.0,72.0,72.0,75.0,77.0,81.0,81.0,76.0,79.0,70.0,77.0,71.0
637,Rafael Santos Borré,2082,1,69.0,82.0,73.0,72.0,73.0,77.0,79.0,67.0,69.0,77.0,83.0,83.0,85.0,90.0,70.0,87.0,39.0,83.0,73.0,41.0,29.0
638,Alban Lafont,1234,1,13.0,6.0,13.0,54.0,9.0,14.0,13.0,12.0,38.0,10.0,48.0,45.0,60.0,40.0,9.0,20.0,17.0,4.0,16.0,14.0,12.0
639,David Brooks,1931,0,75.0,71.0,61.0,78.0,61.0,80.0,73.0,65.0,65.0,78.0,73.0,73.0,78.0,69.0,72.0,64.0,43.0,75.0,65.0,49.0,44.0
640,Christoph Baumgartner,1798,1,62.0,67.0,55.0,78.0,57.0,79.0,60.0,52.0,72.0,78.0,79.0,78.0,78.0,54.0,52.0,50.0,34.0,71.0,65.0,47.0,47.0
641,Rodrigo Javier De Paul,2016,1,77.0,74.0,50.0,80.0,64.0,84.0,80.0,68.0,77.0,84.0,78.0,72.0,77.0,74.0,80.0,58.0,56.0,76.0,70.0,59.0,48.0
642,Sébastien Haller,1958,1,42.0,84.0,86.0,74.0,83.0,74.0,57.0,46.0,48.0,80.0,64.0,74.0,67.0,72.0,65.0,76.0,36.0,83.0,91.0,61.0,55.0
643,Kasper Dolberg,1877,1,50.0,81.0,74.0,79.0,78.0,78.0,73.0,70.0,60.0,79.0,71.0,75.0,72.0,72.0,79.0,32.0,21.0,82.0,78.0,24.0,19.0
644,Thomas Strakosha,1224,1,18.0,18.0,11.0,26.0,11.0,14.0,14.0,12.0,22.0,15.0,41.0,46.0,45.0,23.0,14.0,20.0,24.0,18.0,21.0,18.0,12.0
645,Wout Weghorst,1864,1,42.0,86.0,88.0,76.0,80.0,65.0,40.0,37.0,48.0,79.0,57.0,72.0,63.0,85.0,70.0,83.0,34.0,85.0,77.0,32.0,25.0
646,Zack Steffen,1314,1,14.0,9.0,13.0,51.0,8.0,15.0,13.0,11.0,52.0,31.0,54.0,52.0,58.0,39.0,12.0,31.0,19.0,9.0,37.0,12.0,12.0
647,Ángel Di María,2168,0,88.0,79.0,51.0,83.0,78.0,88.0,89.0,88.0,80.0,87.0,82.0,83.0,94.0,78.0,86.0,73.0,42.0,84.0,73.0,55.0,52.0
648,Ander Barrenetxea,1685,1,70.0,68.0,60.0,66.0,60.0,81.0,60.0,26.0,53.0,76.0,83.0,80.0,79.0,62.0,62.0,35.0,17.0,69.0,59.0,12.0,14.0
649,Antonio Marin,1621,1,55.0,57.0,41.0,65.0,52.0,80.0,66.0,70.0,62.0,72.0,86.0,74.0,72.0,59.0,59.0,51.0,31.0,58.0,39.0,31.0,29.0
650,Daichi Kamada,1878,1,74.0,71.0,53.0,76.0,60.0,84.0,73.0,68.0,65.0,80.0,83.0,69.0,81.0,70.0,65.0,55.0,28.0,75.0,71.0,42.0,34.0
651,Manor Solomon,1705,1,64.0,68.0,38.0,72.0,46.0,78.0,55.0,52.0,68.0,74.0,82.0,80.0,83.0,65.0,66.0,30.0,21.0,66.0,52.0,34.0,35.0
652,Mauro Icardi,1946,1,47.0,90.0,88.0,76.0,85.0,76.0,76.0,48.0,54.0,82.0,74.0,73.0,73.0,66.0,71.0,56.0,22.0,92.0,82.0,24.0,20.0
653,Patrick Cutrone,1746,1,48.0,80.0,76.0,70.0,72.0,74.0,68.0,42.0,34.0,76.0,71.0,75.0,68.0,67.0,62.0,62.0,14.0,80.0,68.0,20.0,18.0
654,Benoît Badiashile,1577,0,36.0,21.0,71.0,70.0,31.0,57.0,37.0,34.0,65.0,64.0,54.0,54.0,36.0,65.0,28.0,66.0,71.0,44.0,46.0,74.0,68.0
655,Déiber Caicedo,1659,1,57.0,60.0,30.0,65.0,46.0,78.0,60.0,61.0,53.0,72.0,84.0,80.0,87.0,67.0,58.0,44.0,35.0,61.0,52.0,27.0,22.0
656,Gonçalo Matias Ramos,1642,1,47.0,65.0,58.0,61.0,64.0,68.0,60.0,41.0,46.0,69.0,79.0,77.0,79.0,66.0,64.0,52.0,31.0,60.0,57.0,23.0,17.0
657,Jesse Lingard,2070,1,74.0,71.0,67.0,77.0,72.0,77.0,79.0,68.0,63.0,77.0,78.0,77.0,83.0,82.0,77.0,74.0,54.0,80.0,70.0,57.0,49.0
658,Vítor Machado Ferreira,1773,1,60.0,51.0,39.0,69.0,60.0,70.0,60.0,61.0,70.0,70.0,76.0,69.0,89.0,63.0,58.0,53.0,53.0,60.0,73.0,53.0,52.0
659,Luca Waldschmidt,1866,0,63.0,78.0,59.0,75.0,72.0,75.0,73.0,63.0,58.0,74.0,77.0,71.0,78.0,70.0,82.0,44.0,28.0,80.0,83.0,19.0,18.0
660,Arvin Appiah,1544,0,58.0,63.0,44.0,51.0,50.0,70.0,45.0,31.0,40.0,66.0,92.0,93.0,92.0,49.0,48.0,34.0,19.0,58.0,67.0,29.0,26.0
661,Josip Brekalo,1818,1,74.0,65.0,45.0,74.0,62.0,85.0,72.0,60.0,59.0,80.0,86.0,69.0,87.0,66.0,75.0,38.0,30.0,69.0,59.0,28.0,37.0
662,Alex Iwobi,1788,1,72.0,65.0,42.0,80.0,51.0,80.0,70.0,40.0,66.0,81.0,76.0,79.0,77.0,74.0,64.0,54.0,24.0,76.0,59.0,26.0,23.0
663,Granit Xhaka,1973,0,71.0,50.0,62.0,85.0,50.0,66.0,76.0,77.0,85.0,80.0,48.0,55.0,49.0,82.0,75.0,91.0,72.0,67.0,63.0,71.0,68.0
664,Habib Diallo,1715,1,35.0,81.0,81.0,66.0,66.0,71.0,50.0,37.0,43.0,72.0,69.0,73.0,64.0,69.0,61.0,47.0,19.0,78.0,80.0,17.0,17.0
665,Leander Dendoncker,2115,1,75.0,66.0,79.0,80.0,71.0,72.0,73.0,71.0,78.0,75.0,59.0,73.0,58.0,88.0,76.0,75.0,78.0,76.0,55.0,80.0,76.0
666,Martin Braithwaite,1955,1,68.0,77.0,67.0,74.0,75.0,76.0,71.0,75.0,65.0,80.0,80.0,80.0,80.0,76.0,71.0,69.0,31.0,75.0,73.0,30.0,26.0
667,Mason Holgate,1870,1,69.0,37.0,76.0,75.0,40.0,67.0,53.0,35.0,75.0,70.0,70.0,74.0,69.0,72.0,42.0,79.0,78.0,52.0,40.0,79.0,77.0
668,Mateo Kovačić,2135,1,73.0,61.0,42.0,90.0,76.0,88.0,79.0,70.0,82.0,89.0,78.0,73.0,87.0,79.0,75.0,77.0,74.0,72.0,59.0,73.0,66.0
670,Aaron Hickey,1704,1,65.0,45.0,62.0,62.0,56.0,62.0,62.0,40.0,68.0,65.0,65.0,68.0,66.0,66.0,52.0,43.0,54.0,50.0,48.0,66.0,65.0
671,Kenneth Taylor,1791,0,71.0,52.0,55.0,70.0,59.0,64.0,72.0,74.0,70.0,69.0,66.0,64.0,67.0,52.0,67.0,68.0,58.0,49.0,56.0,57.0,62.0
672,Kieran Trippier,2163,1,86.0,48.0,74.0,80.0,58.0,74.0,86.0,82.0,79.0,83.0,74.0,72.0,73.0,88.0,70.0,70.0,79.0,73.0,66.0,83.0,81.0
674,Diego Lainez,1831,0,66.0,63.0,48.0,70.0,60.0,80.0,67.0,50.0,62.0,73.0,86.0,75.0,87.0,60.0,62.0,59.0,29.0,69.0,66.0,54.0,51.0
675,Henry Onyekuru,1885,1,69.0,75.0,57.0,70.0,69.0,84.0,70.0,45.0,63.0,78.0,91.0,90.0,90.0,75.0,73.0,53.0,18.0,76.0,65.0,38.0,25.0
676,Josef Martínez,1948,1,53.0,85.0,77.0,69.0,75.0,76.0,68.0,57.0,55.0,79.0,87.0,90.0,91.0,72.0,66.0,66.0,20.0,85.0,79.0,20.0,15.0
677,Manuel Lazzari,1940,1,83.0,67.0,44.0,77.0,59.0,82.0,68.0,58.0,75.0,81.0,91.0,87.0,85.0,86.0,57.0,56.0,55.0,74.0,55.0,53.0,48.0
678,Santiago Arias,2026,1,77.0,51.0,69.0,75.0,43.0,74.0,47.0,54.0,72.0,77.0,77.0,85.0,78.0,93.0,50.0,80.0,77.0,70.0,56.0,79.0,78.0
679,Issa Diop,1682,1,37.0,30.0,75.0,67.0,48.0,50.0,32.0,34.0,63.0,63.0,62.0,68.0,52.0,69.0,31.0,79.0,79.0,42.0,44.0,80.0,81.0
680,Luis Sinisterra,1958,1,65.0,67.0,64.0,75.0,72.0,82.0,64.0,42.0,66.0,77.0,91.0,87.0,93.0,78.0,55.0,58.0,49.0,72.0,55.0,48.0,47.0
681,Ruslan Malinovskyi,2155,0,79.0,73.0,75.0,82.0,70.0,81.0,85.0,88.0,81.0,82.0,68.0,71.0,62.0,81.0,87.0,78.0,66.0,70.0,83.0,72.0,50.0
682,Yves Bissouma,2002,1,65.0,60.0,60.0,76.0,41.0,79.0,62.0,75.0,73.0,77.0,69.0,72.0,73.0,72.0,75.0,68.0,77.0,68.0,58.0,76.0,73.0
683,Joelinton Apolinário de Lira,1862,1,44.0,75.0,75.0,73.0,65.0,76.0,52.0,38.0,56.0,73.0,75.0,79.0,69.0,75.0,62.0,78.0,45.0,73.0,61.0,48.0,38.0
684,Manuel Locatelli,1983,1,72.0,54.0,68.0,79.0,64.0,75.0,66.0,60.0,77.0,79.0,56.0,58.0,65.0,72.0,75.0,70.0,79.0,57.0,60.0,78.0,75.0
685,Thibaut Courtois,1325,0,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,42.0,52.0,61.0,38.0,17.0,23.0,15.0,13.0,27.0,18.0,16.0
686,Wissam Ben Yedder,2080,1,74.0,88.0,74.0,82.0,84.0,87.0,80.0,76.0,66.0,87.0,86.0,82.0,91.0,68.0,71.0,55.0,44.0,90.0,80.0,33.0,26.0
687,Sergio Busquets Burgos,2021,1,62.0,67.0,68.0,89.0,44.0,81.0,66.0,68.0,83.0,88.0,40.0,43.0,67.0,81.0,54.0,81.0,85.0,77.0,60.0,83.0,80.0
688,Valentin Rongier,2075,1,62.0,71.0,40.0,83.0,74.0,79.0,76.0,69.0,81.0,82.0,65.0,57.0,77.0,80.0,78.0,52.0,81.0,73.0,65.0,84.0,71.0
689,Michał Karbownik,1726,1,68.0,39.0,54.0,66.0,32.0,66.0,62.0,38.0,58.0,69.0,85.0,78.0,64.0,74.0,37.0,68.0,62.0,62.0,44.0,62.0,60.0
690,Pablo Marí Villar,1587,0,32.0,38.0,82.0,69.0,28.0,41.0,27.0,30.0,63.0,60.0,54.0,51.0,49.0,72.0,40.0,80.0,72.0,34.0,31.0,74.0,70.0
691,Thorgan Hazard,2107,1,81.0,76.0,39.0,82.0,80.0,86.0,83.0,81.0,73.0,84.0,86.0,83.0,91.0,80.0,77.0,57.0,63.0,81.0,81.0,46.0,48.0
692,Adam Armstrong,1933,1,62.0,74.0,61.0,60.132580099339556,66.0,72.0,69.0,59.0,58.0,73.0,93.0,88.0,87.0,78.0,74.0,80.0,41.0,51.943673469387754,68.0,23.0,25.0
693,Christian Früchtl,935,0,10.0,11.0,11.0,29.0,9.0,13.0,15.0,14.0,25.0,17.0,25.0,23.0,26.0,19.0,8.0,26.0,11.0,6.0,13.0,10.0,13.0
694,Cristian Portugues Manzanera,2190,1,80.0,82.0,77.0,83.0,72.0,84.0,80.0,64.0,79.0,81.0,90.0,90.0,81.0,89.0,75.0,82.0,55.0,80.0,53.0,61.0,59.0
695,Diego Rossi,1801,1,67.0,76.0,44.0,72.0,71.0,75.0,70.0,34.0,57.0,76.0,83.0,83.0,83.0,77.0,69.0,49.0,21.0,74.0,57.0,18.0,28.0
